id,senky14,age,age3,age8,age45,age60,age65,ageblack,agebyrac,agebyr_1,attend,attend2,backside,brnagain,call,cdnum,child12,congress,congre_1,contactg,contactk,contactm,describs,econbett,econdir,educ10,educcoll,educhs,educwhit,envirore,favdem2,favgrime,favmconl,favrep2,forobama,geocode,govtdo10,grimesli,gunowner,healthca,inc100k,inc30k,inc50k,income3,income4,income14,incwhite,isis14,issue14,kynect,kynectb,latino,marchild,marijuan,married,mcconnel,nec,nec2,necworr2,necworry,obama2,obama4,obamaang,obamaa_1,over45,over65,parents,party,partybla,partybyr,partyid,partysex,partywhi,paulpres,phil3,precinct,ptyideo,ptyideo7,ptyimpt1,ptyimp_1,qrace3,qraceai,qtype,race,raceai,rcongang,rconga_1,region,samesexm,sex,sexbyrac,sexwed,sizeplac,sizeplc3,stanum,teabrn,teaparty,teapar_1,telepoll,terrworr,terworr2,time14fe,time14mt,time14wk,timesen1,track,unfairgr,unfairky,unfairmc,version,vetvoter,weight,whnclinc,whtevang
86116,Alison Lundergan Grimes,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29, , ,Complete, ,Call 3,1,Yes,Disapprove,Strongly disapprove, , , , ,Getting better,Getting better,College graduate,College graduate,More than High school graduate,White college degree, , ,Favorable,Unfavorable, , ,5,Government should do more to solve problems, , , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", , , , ,No,Married with children,Legal,Yes, ,Good,Excellent or good,Worried,Somewhat worried,Disapprove,Somewhat disapprove, , ,18-44,18-64,Men with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent, ,Liberal,18,Moderate/Liberal Republicans,Liberal Independents, , ,White,White,State questionnaire,White,White, , ,South, ,Male,White men,Married men,Suburbs,Suburbs,Kentucky, , , ,Election day exit poll, , ,Before that,Before that,Before that,Before that,Seriously off on the wrong track, , , ,Version 1, ,.837478041648865,No, 
57509,Alison Lundergan Grimes,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Never,Never,Complete,No,Call 1,1,Yes, , , , , , , , ,College graduate,College graduate,More than High school graduate,White college degree, , , , , , ,5, , , , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", , , , ,No,All others, ,No, , , , , , , , , ,18-44,18-64,Women with children,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat, ,Liberal,110,Liberal Democrats,Liberal Democrats, , ,White,White,National questionnaire,White,White, , ,South, ,Female,White women,Non married women,Rural,Small Cities/Rural,Kentucky, , , ,Election day exit poll, , , , , , , , , , ,Version 3, ,.801922202110291,No,All others
69655,Alison Lundergan Grimes,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44, , ,Complete, ,Call 2,3,Yes,Disapprove,Strongly disapprove, , , , ,Getting better,Getting better,College graduate,College graduate,More than High school graduate,Non white college degree, , ,Favorable,Unfavorable, , ,4,Omit, , , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white", , , , ,No,Married with children,Illegal,Yes, ,Good,Excellent or good,Not worried,Not at all worried,Approve,Somewhat approve, , ,18-44,18-64,Women with children,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats, ,Moderate,54,Moderate/Conservative Democrats,Mod/Conserv. Democrats, , ,Black,Black,State questionnaire,Black,Black, , ,South, ,Female,Black women,Married women,"Cities over 500,000","Cities over 50,000",Kentucky, , , ,Election day exit poll, , ,Before that,Before that,Before that,Before that,Generally going in the right direction, , , ,Version 1, ,.886326134204865,No, 
53457,Alison Lundergan Grimes,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64, , ,Complete, ,Call 1,3, , , ,No,Neither of them,No,I strongly favor my candidate, , ,Postgraduate study,College graduate,More than High school graduate,White college degree, , , , , ,Barack Obama was not a factor,4, , ,No,Was about right,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Foreign policy,Somewhat well,Very well or somewhat well,No, , ,Yes, , , , , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64, ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,No,Moderate,64,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Very important,Important,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",South, ,Female,White women,Married women,"Cities over 500,000","Cities over 50,000",Kentucky, , , ,Election day exit poll, , , , , , , , , , ,Version 2, ,.78059047460556,No, 
53453,Alison Lundergan Grimes,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64, , ,Complete, ,Call 1,4,Yes,Disapprove,Strongly disapprove, , , , ,Staying about the same,Poor and staying the same,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree, , ,Favorable,Unfavorable, , ,3,Government is doing too many things better left to businesses and individuals, , , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", , , , ,No,Married with children,Illegal,Yes, ,Not so good,Not so good or poor,Worried,Somewhat worried,Disapprove,Somewhat disapprove, , ,45+,18-64,Women with children,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican, ,Moderate,76,Conservative Republicans,Mod./Liberal Republicans, , ,White,White,State questionnaire,White,White, , ,South, ,Female,White women,Married women,Suburbs,Suburbs,Kentucky, , , ,Election day exit poll, , ,In the last three days,In the last month,In the last week,In the last three days,Seriously off on the wrong track, , , ,Version 1, ,.474686592817307,No, 
84374,Alison Lundergan Grimes,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,A few times a year,Occasionally,Complete,No,Call 3,3, , , , , , , , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Government should do more to protect the environment,Favorable, , ,Unfavorable, ,4, ,About right, , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Disapprove, , , ,No, , , ,Too conservative, , , , , , , , ,45+,65+, ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat, ,Liberal,64,Liberal Democrats,Liberal Democrats, , ,White,White,State questionnaire,White,White, , ,South,Yes,Female,White women, ,"Cities over 500,000","Cities over 50,000",Kentucky,Neither,Somewhat oppose,Oppose,Election day exit poll,Not too worried,Not too or not at all worried, , , , , ,Yes,Both of them,Yes,Version 3,No,.848296999931335,No,All others
57499,Alison Lundergan Grimes,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,More than once a week,Weekly,Complete,Yes,Call 1,2, , , , , , , , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,Government should do more to protect the environment,Favorable, , ,Unfavorable, ,5, ,Not liberal enough, , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Disapprove, , , ,No, , , ,Too conservative, , , , , , , , ,18-44,18-64, ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat, ,Moderate,42,Moderate/Conservative Democrats,Mod/Conserv. Democrats, , ,White,White,State questionnaire,White,White, , ,South,No,Female,White women, ,Suburbs,Suburbs,Kentucky,Born-again but not Tea Party supporter,Neutral,Neutral,Election day exit poll,Somewhat worried,Very or somewhat worried, , , , , ,No,Only Mitch McConnell,Yes,Version 3,No,1.34234797954559,No,White Born-again/Evangelical Christians
57498,Alison Lundergan Grimes,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,More than once a week,Weekly,Complete,Yes,Call 1,2, , , , , , , , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,Government should do more to protect the environment,Favorable, , ,Unfavorable, ,5, ,Not liberal enough, , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Disapprove, , , ,No, , , ,Too conservative, , , , , , , , ,18-44,18-64, ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat, ,Moderate,42,Moderate/Conservative Democrats,Mod/Conserv. Democrats, , ,White,White,State questionnaire,White,White, , ,South,No,Female,White women, ,Suburbs,Suburbs,Kentucky,Born-again but not Tea Party supporter,Neutral,Neutral,Election day exit poll,Somewhat worried,Very or somewhat worried, , , , , ,No,Only Mitch McConnell,Yes,Version 3,No,1.34234797954559,No,White Born-again/Evangelical Christians
53447,Alison Lundergan Grimes,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29, , ,Complete, ,Call 1,5, , , ,No,Neither of them,No,I dislike the other candidates, , ,College graduate,College graduate,More than High school graduate,White college degree, , , , , ,Barack Obama was not a factor,1, , ,No,Did not go far enough,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,The economy,Very well,Very well or somewhat well,No, , ,No, , , , , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64, ,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,No,Liberal,107,Moderate/Liberal Republicans,Liberal Independents,Not at all important,Not important,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",South, ,Male,White men,Non married men,Rural,Small Cities/Rural,Kentucky, , , ,Election day exit poll, , , , , , , , , , ,Version 2, ,.923120319843292,No, 
53444,Alison Lundergan Grimes,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29, , ,Complete, ,Call 1,5, , , ,No,Neither of them,No,I dislike the other candidates, , ,College graduate,College graduate,More than High school graduate,White college degree, , , , , ,Barack Obama was not a factor,1, , ,No,Did not go far enough,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,The economy,Very well,Very well or somewhat well,No, , ,No, , , , , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64, ,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,No,Liberal,107,Moderate/Liberal Republicans,Liberal Independents,Not at all important,Not important,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",South, ,Male,White men,Non married men,Rural,Small Cities/Rural,Kentucky, , , ,Election day exit poll, , , , , , , , , , ,Version 2, ,.923120319843292,No, 
53443,Alison Lundergan Grimes,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64, , ,Complete, ,Call 1,2,No,Approve,Somewhat approve, , , , ,Getting better,Getting better,College graduate,College graduate,More than High school graduate,White college degree, , ,Favorable,Unfavorable, , ,5,Government is doing too many things better left to businesses and individuals, , , ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", , , , , ,All others,Illegal,Yes, ,Good,Excellent or good,Not worried,Not too worried,Approve,Somewhat approve, , ,45+,18-64,Men without children,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat, ,Conservative,93,Moderate/Conservative Democrats,Mod/Conserv. Democrats, , ,White,White,State questionnaire,White,White, , ,South, ,Male,White men,Married men,Suburbs,Suburbs,Kentucky, , , ,Election day exit poll, , ,Before that,Before that,Before that,Before that,Generally going in the right direction, , , ,Version 1, ,.823465406894684,No, 
72118,Alison Lundergan Grimes,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Once a week,Weekly,Complete,Yes,Call 2,2, , , , , , , , , ,College graduate,College graduate,More than High school graduate,White college degree,Government should do more to protect the environment,Favorable, , ,Unfavorable, ,5, ,About right, , , , , , , , , ,Disapprove, , , ,No, , , ,Too conservative, , , , , , , , ,45+,65+, ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat, ,Moderate,42,Moderate/Conservative Democrats,Mod/Conserv. Democrats, , ,White,White,State questionnaire,White,White, , ,South,Yes,Male,White men, ,Suburbs,Suburbs,Kentucky,Born-again but not Tea Party supporter,Strongly oppose,Oppose,Election day exit poll,Not too worried,Not too or not at all worried, , , , , ,Omit,Omit,Omit,Version 3,No,1.49796938896179,No,White Born-again/Evangelical Christians
73684,Alison Lundergan Grimes,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64, , ,Complete, ,Call 2,2, , , ,Yes,Both of them,Yes,I dislike the other candidates, , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree, , , , , ,Barack Obama was not a factor,5, , ,Yes,Did not go far enough,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,The economy,Very well,Very well or somewhat well,No, , ,No, , , , , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64, ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,No,Moderate,22,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Somewhat important,Important,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",South, ,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Kentucky, , , ,Election day exit poll, , , , , , , , , , ,Version 2, ,.812908172607422,No, 
83506,Alison Lundergan Grimes,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29, , ,Complete, ,Call 3,6, , , ,Yes,Only McConnell,No,I strongly favor my candidate, , ,College graduate,College graduate,More than High school graduate,White college degree, , , , , ,Barack Obama was not a factor,2, , ,No,Was about right,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,The economy,Somewhat well,Very well or somewhat well,No, , ,Yes, , , , , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64, ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Omit,Moderate,36,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Very important,Important,White,White,State questionnaire,White,White,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",South, ,Female,White women,Married women,Rural,Small Cities/Rural,Kentucky, , , ,Election day exit poll, , , , , , , , , , ,Version 2, ,.724509060382843,No, 
82992,Alison Lundergan Grimes,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+, , ,Complete, ,Call 3,3, , , ,No,Only Grimes,Yes,I strongly favor my candidate, , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree, , , , , ,Barack Obama was not a factor,4, , ,No,Did not go far enough,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,The economy,Very well,Very well or somewhat well,No, , ,No, , , , , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,65+, ,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,No,Moderate,63,Moderate/Liberal Republicans,Moderate Independents,Very important,Important,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",South, ,Male,White men,Non married men,"Cities over 500,000","Cities over 50,000",Kentucky, , , ,Election day exit poll, , , , , , , , , , ,Version 2, ,.885909020900726,Yes, 
83656,Alison Lundergan Grimes,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64, , ,Complete, ,Call 3,4,No,Disapprove,Somewhat disapprove, , , , ,Getting worse,Worse,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree, , ,Favorable,Unfavorable, , ,3,Government should do more to solve problems, , , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", , , , ,No,All others,Legal,No, ,Good,Excellent or good,Worried,Somewhat worried,Approve,Strongly approve, , ,45+,18-64,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat, ,Liberal,73,Liberal Democrats,Liberal Democrats, , ,White,White,State questionnaire,White,White, , ,South, ,Female,White women,Non married women,Suburbs,Suburbs,Kentucky, , , ,Election day exit poll, , ,Before that,Before that,Before that,Before that,Seriously off on the wrong track, , , ,Version 1, ,.436941623687744,Yes, 
57473,Alison Lundergan Grimes,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Once a week,Weekly,Complete,Yes,Call 1,2, , , , , , , , , ,High school graduate,No college degree,High school graduate or less,White no college degree,Government should do more to protect the environment,Favorable, , ,Unfavorable, ,5, ,About right, , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Approve, , , ,No, , , ,Too conservative, , , , , , , , ,45+,65+, ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat, ,Moderate,13,Moderate/Conservative Democrats,Mod/Conserv. Democrats, , ,White,White,State questionnaire,White,White, , ,South,No,Male,White men, ,Suburbs,Suburbs,Kentucky,Born-again but not Tea Party supporter,Strongly oppose,Oppose,Election day exit poll,Very worried,Very or somewhat worried, , , , , ,Yes,Both of them,Yes,Version 3,Yes,1.23047494888306,Yes,White Born-again/Evangelical Christians
86365,Alison Lundergan Grimes,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44, , ,Complete, ,Call 3,2, , , ,No,Neither of them,No,I like my candidate but with reservations, , ,High school graduate,No college degree,High school graduate or less,White no college degree, , , , , ,Barack Obama was not a factor,5, , ,Yes,Was about right,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Health care,Somewhat well,Very well or somewhat well,No, , ,Yes, , , , , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64, ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,No,Conservative,39,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Not too important,Not important,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South, ,Female,White women,Married women,Rural,Small Cities/Rural,Kentucky, , , ,Election day exit poll, , , , , , , , , , ,Version 2, ,.821047306060791,Yes, 
57468,Alison Lundergan Grimes,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44, , ,Complete, ,Call 1,1,No,Disapprove,Somewhat disapprove, , , , ,Getting worse,Worse,College graduate,College graduate,More than High school graduate,White college degree, , ,Favorable,Unfavorable, , ,5,Government is doing too many things better left to businesses and individuals, , , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", , , , ,No,All others,Illegal,Yes, ,Not so good,Not so good or poor,Worried,Very worried,Disapprove,Strongly disapprove, , ,18-44,18-64,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat, ,Moderate,16,Moderate/Conservative Democrats,Mod/Conserv. Democrats, , ,White,White,State questionnaire,White,White, , ,South, ,Female,White women,Married women,Rural,Small Cities/Rural,Kentucky, , , ,Election day exit poll, , ,In the last three days,In the last month,In the last week,In the last three days,Seriously off on the wrong track, , , ,Version 1, ,.894573926925659,No, 
69612,Alison Lundergan Grimes,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64, , ,Complete, ,Call 2,2,No,Disapprove,Strongly disapprove, , , , ,Getting better,Getting better,Postgraduate study,College graduate,More than High school graduate,White college degree, , ,Favorable,Unfavorable, , ,2,Government is doing too many things better left to businesses and individuals, , , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", , , , ,No,All others,Illegal,Yes, ,Not so good,Not so good or poor,Worried,Somewhat worried,Approve,Somewhat approve, , ,45+,18-64,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent, ,Moderate,12,Moderate/Liberal Republicans,Moderate Independents, , ,White,White,State questionnaire,White,White, , ,South, ,Female,White women,Married women,Rural,Small Cities/Rural,Kentucky, , , ,Election day exit poll, , ,Before that,Before that,Before that,Before that,Generally going in the right direction, , , ,Version 1, ,.91903167963028,No, 
84089,Alison Lundergan Grimes,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,A few times a year,Occasionally,Complete,No,Call 3,5,Yes, , , , , , , , ,No high school diploma,No college degree,High school graduate or less,White no college degree, , , , , , ,1, , , , ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", , , , ,No,Married with children, ,Yes, , , , , , , , , ,18-44,18-64,Men with children,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican, ,Moderate,32,Conservative Republicans,Mod./Liberal Republicans, , ,White,White,National questionnaire,White,White, , ,South, ,Male,White men,Married men,Rural,Small Cities/Rural,Kentucky, , , ,Election day exit poll, , , , , , , , , , ,Version 3, ,1.40805959701538,Yes,All others
93901,Alison Lundergan Grimes,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64, , ,Complete, ,Call 3,4, , , ,Yes,Both of them,Yes,I strongly favor my candidate, , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree, , , , , ,To express support for Barack Obama,3, , ,Yes,Was about right,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,The economy,Very well,Very well or somewhat well,No, , ,Yes, , , , , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64, ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,No,Liberal,37,Liberal Democrats,Liberal Democrats,Very important,Important,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",South, ,Female,White women,Married women,Suburbs,Suburbs,Kentucky, , , ,Election day exit poll, , , , , , , , , , ,Version 2, ,.598835408687592,No, 
69604,Alison Lundergan Grimes,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44, , ,Complete, ,Call 2,3,Yes,Approve,Somewhat approve, , , , ,Getting better,Getting better,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree, , ,Favorable,Unfavorable, , ,4,Government is doing too many things better left to businesses and individuals, , , ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white", , , , , ,All others,Illegal,No, ,Good,Excellent or good,Not worried,Not too worried,Approve,Somewhat approve, , ,18-44,18-64,Women with children,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats, ,Moderate,66,Moderate/Conservative Democrats,Mod/Conserv. Democrats, , ,Black,Black,State questionnaire,Black,Black, , ,South, ,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000",Kentucky, , , ,Election day exit poll, , ,Before that,Before that,Before that,Before that,Generally going in the right direction, , , ,Version 1, ,.751694321632385,No, 
85798,Alison Lundergan Grimes,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64, , ,Complete, ,Call 3,3, , , ,Yes,Only McConnell,No,I dislike the other candidates, , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree, , , , , ,Barack Obama was not a factor,4, , ,No,Was about right,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,The economy,Somewhat well,Very well or somewhat well,No, , ,Yes, , , , , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64, ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,No,Liberal,64,Liberal Democrats,Liberal Democrats,Very important,Important,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",South, ,Female,White women,Married women,"Cities over 500,000","Cities over 50,000",Kentucky, , , ,Election day exit poll, , , , , , , , , , ,Version 2, ,.78059047460556,No, 
69601,Alison Lundergan Grimes,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+,A few times a month,Occasionally,Complete,Yes,Call 2,3, , , , , , , , , ,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Government should do more to protect the environment,Favorable, , ,Unfavorable, ,4, ,About right, , ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Approve, , , ,No, , , ,Not conservative enough, , , , , , , , ,45+,65+, ,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats, ,Moderate,64,Moderate/Conservative Democrats,Mod/Conserv. Democrats, , ,Black,Black,State questionnaire,Black,Black, , ,South,Yes,Male,Black men, ,"Cities over 500,000","Cities over 50,000",Kentucky,Born-again but not Tea Party supporter,Somewhat oppose,Oppose,Election day exit poll,Not too worried,Not too or not at all worried, , , , , ,No,Only Mitch McConnell,Yes,Version 3,Yes,.886640131473541,No,All others
53403,Alison Lundergan Grimes,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,More than once a week,Weekly,Complete,Yes,Call 1,2, , , , , , , , , ,High school graduate,No college degree,High school graduate or less,White no college degree,Government should do more to protect the environment,Favorable, , ,Favorable, ,5, ,Not liberal enough, , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Approve, , , , , , , ,Not conservative enough, , , , , , , , ,45+,65+, ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat, ,Moderate,39,Moderate/Conservative Democrats,Mod/Conserv. Democrats, , ,White,White,State questionnaire,White,White, , ,South,No,Female,White women, ,Rural,Small Cities/Rural,Kentucky,Both Tea Party supporter and born-again,Somewhat support,Support,Election day exit poll,Not too worried,Not too or not at all worried, , , , , ,Yes,Both of them,Yes,Version 3,No,.892262935638428,Yes,White Born-again/Evangelical Christians
53402,Alison Lundergan Grimes,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+, , ,Complete, ,Call 1,3, , , ,No,Neither of them,No,I strongly favor my candidate, , ,High school graduate,No college degree,High school graduate or less,Non white no college degree, , , , , ,Barack Obama was not a factor,4, , ,No,Did not go far enough,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white", ,The economy,Very well,Very well or somewhat well,No, , ,No, , , , , , , ,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",45+,65+, ,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,No,Moderate,66,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Not too important,Not important,Black,Black,State questionnaire,Black,Black,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South, ,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000",Kentucky, , , ,Election day exit poll, , , , , , , , , , ,Version 2, ,.816894471645355,No, 
